20	15	11	16	13	6	3	11	8	5	5	15	15	18	18	13	18	12	13	8	15	17	13
20	15	21	16	1	6	3	2	8	5	3	15	15	18	18	13	18	12	13	11	11	7	5
2	15	18	16	9	6	3	2	11	5	3	15	15	18	18	13	18	12	13	11	11	10	5
20	21	18	16	13	6	3	11	11	5	5	15	15	18	18	13	18	12	13	8	15	17	13
20	15	7	6	11	6	18	2	8	16	5	15	15	18	18	13	18	12	5	11	1	7	5
20	21	21	16	1	6	3	2	11	5	3	15	15	18	18	13	18	12	13	8	11	7	5
2	15	18	16	1	6	3	2	7	5	3	15	15	18	18	13	18	12	13	8	11	10	5
2	21	18	16	9	6	3	2	11	5	3	15	15	18	18	13	18	12	13	11	15	10	5
20	21	18	16	13	6	3	11	13	5	5	15	15	18	18	13	18	12	13	8	19	7	13
2	15	21	16	1	6	3	2	7	5	3	15	15	18	18	13	18	12	13	8	15	10	5
20	21	21	16	9	6	3	2	7	5	3	15	15	18	18	13	18	12	13	11	11	7	5
20	21	21	16	1	6	3	2	11	5	3	15	15	18	18	13	18	12	13	8	15	10	5
2	15	21	16	1	6	3	2	18	5	3	15	15	18	18	13	18	12	13	11	15	7	5
20	21	18	16	13	6	3	11	8	5	5	15	15	18	18	13	18	12	13	11	19	17	13
20	6	11	6	11	6	18	2	11	16	5	15	6	18	18	13	18	12	5	8	1	7	5
15	6	7	6	11	6	3	11	8	5	5	15	15	18	18	13	18	12	13	11	21	17	5
6	6	18	6	11	6	18	2	8	16	5	15	15	18	18	13	18	12	5	11	1	7	5
20	15	11	16	13	6	3	11	11	5	5	15	15	18	18	13	18	12	13	8	15	7	13
20	21	18	16	13	6	3	11	11	5	5	15	15	18	18	13	18	12	13	11	15	17	13
20	15	11	16	13	6	3	11	8	5	5	15	15	18	18	13	18	12	13	11	15	17	13
2	15	21	16	1	6	3	2	8	5	3	15	15	18	18	13	18	12	13	11	15	10	5
20	21	11	16	13	6	3	11	11	5	5	15	15	18	18	13	18	12	13	11	19	7	13
2	21	21	16	9	6	3	2	8	5	3	15	15	18	18	13	18	12	13	11	15	10	5
2	21	18	16	1	6	3	2	18	5	3	15	15	18	18	13	18	12	13	11	11	10	5
2	15	18	16	9	6	3	2	7	5	3	15	15	18	18	13	18	12	13	8	15	10	5
6	15	18	16	13	6	3	11	11	5	5	15	15	18	18	13	18	12	13	11	19	7	13
20	21	21	16	1	6	3	2	11	5	3	15	15	18	18	13	18	12	13	11	11	10	5
20	21	18	16	9	6	3	2	18	5	3	15	15	18	18	13	18	12	13	11	11	10	5
6	6	11	6	11	6	3	11	8	5	5	15	15	18	18	13	18	12	13	8	21	17	5
20	15	21	16	1	6	18	11	11	16	2	15	15	18	18	13	18	12	13	11	19	4	5
2	15	21	16	9	6	3	2	7	5	3	15	15	18	18	13	18	12	13	11	11	10	5
20	21	18	16	13	6	3	11	8	5	5	15	15	18	18	13	18	12	13	11	15	17	13
20	21	21	16	9	6	3	2	11	5	3	15	15	18	18	13	18	12	13	11	11	10	5
20	21	11	16	9	6	3	2	13	5	14	15	21	18	18	13	18	12	13	11	21	13	5
